league,method,auc,log_loss,brier,ece
MBB,uncalibrated,0.8403566658551704,0.4520948426325798,0.1492080270758044,0.008445540885764616
MBB,platt,0.8403860523021682,0.4520073564474024,0.1491643056051106,0.007271033827672686
MBB,isotonic,0.8403170536040727,0.45211133784617674,0.1492694261610425,0.008542048622611575
WBB,uncalibrated,0.8801112441075474,0.41311112183884574,0.1345096651376488,0.011829359957347565
WBB,platt,0.8801254452418603,0.4130967908471886,0.1345065902068995,0.012212266704082198
WBB,isotonic,0.8800836740749722,0.41218138517984265,0.13434381983299212,0.005581234070894245
Combined,uncalibrated,0.8611671446594908,0.43318147412857944,0.14204070726809542,0.008521391521160257
Combined,platt,0.861174410697102,0.433131261025556,0.14202374223276235,0.01079383089217717
Combined,isotonic,0.8610318190340047,0.4328757744308135,0.14202582740107855,0.007488385299401234
