task,regime,league,model_family,n_train,n_val,best_params,auc,pr_auc,log_loss,brier,ece,precision_at_k,error
selection,separate,MBB,xgb_style_hgb,5592,726,{},,,,,,,"
All the 9 fits failed.
It is very likely that your model is misconfigured.
You can try to debug the error by setting error_score='raise'.

Below are more details about the failures:
-----------------"
selection,separate,MBB,knn,5592,726,"{""clf__weights"": ""distance"", ""clf__n_neighbors"": 35}",0.9929212362911266,0.973010740824136,0.0980484878029048,0.028746691252613064,0.03873741803000535,0.9338235294117647,
selection,separate,MBB,gaussian_nb,5592,726,{},,,,,,,"Sparse data was passed for X, but dense data is required. Use '.toarray()' to convert to a dense numpy array."
selection,separate,MBB,lda,5592,726,{},,,,,,,"Sparse data was passed for X, but dense data is required. Use '.toarray()' to convert to a dense numpy array."
selection,separate,MBB,qda,5592,726,{},,,,,,,"Sparse data was passed for X, but dense data is required. Use '.toarray()' to convert to a dense numpy array."
selection,separate,MBB,perceptron,5592,726,"{""clf__alpha"": 1e-06}",0.9998878364905285,0.9995137442064014,0.021989523290629448,0.006991424688101695,0.008236293155116155,0.9852941176470589,
selection,separate,MBB,mlp,5592,726,"{""clf__hidden_layer_sizes"": [128, 64, 32], ""clf__alpha"": 0.002154434690031882}",1.0,0.9999999999999999,0.011028353426644615,0.002739655100108672,0.009119586188403929,1.0,
selection,separate,MBB,xgboost,5592,726,{},1.0,1.0,0.004541888340945509,0.0015337085352990802,0.0022271099082862354,1.0,
selection,separate,MBB,probit_proxy,5592,726,{},0.9999875373878365,0.999946328896522,0.028489325615123122,0.005959908308873437,0.02325264747964659,0.9926470588235294,
selection,separate,MBB,autoencoder_proxy_mlp,5592,726,{},0.9999875373878365,0.999946328896522,0.019979404341813133,0.005635920677058879,0.013006879168816068,0.9926470588235294,
selection,separate,WBB,logreg_l2,4198,722,"{""clf__C"": 2.3357214690901213}",0.999974904637623,0.9998922631525775,0.016154958208500776,0.0030904535849840898,0.012295437769230323,0.9926470588235294,
selection,separate,WBB,logreg_l1,4198,722,"{""clf__C"": 0.18329807108324356}",1.0,1.0,0.028935006742610354,0.006806483112985626,0.021954557857518806,1.0,
selection,separate,WBB,logreg_elastic,4198,722,"{""clf__l1_ratio"": 0.9, ""clf__C"": 0.21544346900318834}",1.0,1.0,0.028211013351095375,0.006479227012875144,0.02153937784969963,1.0,
selection,separate,WBB,linear_svm,4198,722,"{""clf__C"": 6.951927961775605}",1.0,1.0,0.027991023749769375,0.005690938032010815,0.02439982350154384,1.0,
selection,separate,WBB,rbf_svm,4198,722,{},0.9999121662316803,0.9996269906495945,0.011266653442864412,0.003284925384278043,0.006615285668034382,0.9852941176470589,
selection,separate,WBB,poly_svm,4198,722,{},0.999924713912869,0.9996778987576178,0.01270704132334627,0.00345191971467241,0.006201788202947129,0.9926470588235294,
selection,separate,WBB,decision_tree,4198,722,"{""clf__min_samples_leaf"": 1, ""clf__max_depth"": 5}",1.0,1.0,2.2204460492503136e-16,0.0,0.0,1.0,
selection,separate,WBB,random_forest,4198,722,"{""clf__n_estimators"": 500, ""clf__min_samples_leaf"": 5, ""clf__max_depth"": null}",1.0,0.9999999999999998,0.02795594321797849,0.0032230568037859616,0.026002827587629056,1.0,
selection,separate,WBB,extra_trees,4198,722,"{""clf__n_estimators"": 500, ""clf__min_samples_leaf"": 5, ""clf__max_depth"": null}",0.995332262597872,0.9785873348808927,0.1107570268970941,0.028054155664320554,0.05812549140735813,0.9191176470588235,
selection,separate,WBB,adaboost,4198,722,"{""clf__n_estimators"": 200, ""clf__learning_rate"": 1.0}",1.0,1.0000000000000002,0.3385556766060991,0.08553233199994013,0.28348951428123886,1.0,
selection,separate,WBB,grad_boost,4198,722,"{""clf__n_estimators"": 100, ""clf__max_depth"": 2, ""clf__learning_rate"": 0.03}",1.0,1.0,0.015366423890983921,0.0003991348891649034,0.015161568376483664,1.0,
selection,separate,WBB,xgb_style_hgb,4198,722,{},,,,,,,"
All the 9 fits failed.
It is very likely that your model is misconfigured.
You can try to debug the error by setting error_score='raise'.

Below are more details about the failures:
-----------------"
selection,separate,WBB,knn,4198,722,"{""clf__weights"": ""distance"", ""clf__n_neighbors"": 55}",0.9937387070869304,0.9761203256628332,0.08792950926998482,0.025769780239177097,0.024240858162585636,0.9044117647058824,
selection,separate,WBB,gaussian_nb,4198,722,{},,,,,,,"Sparse data was passed for X, but dense data is required. Use '.toarray()' to convert to a dense numpy array."
selection,separate,WBB,lda,4198,722,{},,,,,,,"Sparse data was passed for X, but dense data is required. Use '.toarray()' to convert to a dense numpy array."
selection,separate,WBB,qda,4198,722,{},,,,,,,"Sparse data was passed for X, but dense data is required. Use '.toarray()' to convert to a dense numpy array."
selection,separate,WBB,perceptron,4198,722,"{""clf__alpha"": 1e-06}",0.9998117847821723,0.9991506447472814,0.01191298085894655,0.0031962801745979413,0.007048393597179801,0.9926470588235294,
selection,separate,WBB,mlp,4198,722,"{""clf__hidden_layer_sizes"": [128, 64], ""clf__alpha"": 0.01}",0.9990338285484842,0.9955127108768561,0.03480358862963471,0.009081886640458729,0.01468076575953349,0.9705882352941176,
selection,separate,WBB,xgboost,4198,722,{},1.0,0.9999999999999999,0.0007517243583414717,1.1627745708483296e-05,0.0007457187123759242,1.0,
selection,separate,WBB,probit_proxy,4198,722,{},0.9999498092752459,0.9997829242262939,0.026957141799345136,0.00556175633260036,0.021373833618702796,0.9926470588235294,
selection,separate,WBB,autoencoder_proxy_mlp,4198,722,{},0.9995482834772134,0.9977679170727509,0.02284879103351208,0.005270259248103662,0.010659260761943798,0.9926470588235294,
bracket,pooled,Combined,logreg_l2,138371,22591,"{""clf__C"": 0.06158482110660264}",0.8611778274647882,,0.433170215451427,0.14203426279873288,0.008485063631296507,,
bracket,pooled,Combined,logreg_l1,138371,22591,"{""clf__C"": 0.029763514416313176}",0.8611446891432544,,0.4332479705820017,0.1420443903988134,0.008417380842091695,,
bracket,pooled,Combined,logreg_elastic,138371,22591,"{""clf__l1_ratio"": 0.30000000000000004, ""clf__C"": 2.154434690031882}",0.8611613837296705,,0.433189744699131,0.14204404101135035,0.008538457707402185,,
bracket,pooled,Combined,linear_svm,138371,22591,"{""clf__C"": 0.01}",0.860963721556512,,0.51514283557059,0.16741715399196275,0.1441588065034238,,
bracket,pooled,Combined,rbf_svm,12000,22591,{},0.829032725697098,,0.47383530379328564,0.15139276124193823,0.04962267469928373,,
bracket,pooled,Combined,poly_svm,12000,22591,{},0.8448169597760289,,0.4733400964411468,0.15118520107974956,0.07285500533173801,,
bracket,pooled,Combined,decision_tree,138371,22591,"{""clf__min_samples_leaf"": 1, ""clf__max_depth"": 5}",0.8545045211967531,,0.4413163225850811,0.14449041142126115,0.00735124706647686,,
bracket,pooled,Combined,random_forest,138371,22591,"{""clf__n_estimators"": 300, ""clf__min_samples_leaf"": 2, ""clf__max_depth"": 8}",0.8608600161697015,,0.43429618249582047,0.1422159646054718,0.009131849646974296,,
bracket,pooled,Combined,extra_trees,138371,22591,"{""clf__n_estimators"": 500, ""clf__min_samples_leaf"": 5, ""clf__max_depth"": null}",0.8608609244244031,,0.4396259481461181,0.1432209872218396,0.028692919452948218,,
bracket,pooled,Combined,adaboost,138371,22591,"{""clf__n_estimators"": 200, ""clf__learning_rate"": 1.0}",0.8583561136587511,,0.5591477819513476,0.18569378598291927,0.1843222424723949,,
bracket,pooled,Combined,grad_boost,138371,22591,"{""clf__n_estimators"": 400, ""clf__max_depth"": 4, ""clf__learning_rate"": 0.03}",0.8617745637786746,,0.43208326018803905,0.14181373148854606,0.008977608766166814,,
bracket,pooled,Combined,xgb_style_hgb,138371,22591,"{""clf__max_iter"": 400, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.1}",0.8615508865958543,,0.4321204506242736,0.141876429179329,0.007137363393558841,,
bracket,pooled,Combined,knn,138371,22591,"{""clf__weights"": ""distance"", ""clf__n_neighbors"": 55}",0.855158027754499,,0.4660561816407028,0.1448819896589894,0.01078003697519006,,
bracket,pooled,Combined,gaussian_nb,138371,22591,{},0.8432282363273197,,0.65275669000149,0.17822920895785319,0.12797587045608178,,
bracket,pooled,Combined,lda,138371,22591,{},0.8599615533189885,,0.4355458130214572,0.14244409965278237,0.009934881793363442,,
bracket,pooled,Combined,qda,138371,22591,{},0.8552635107255107,,0.5163151169177681,0.154396593072187,0.07892375564564826,,
bracket,pooled,Combined,perceptron,138371,22591,"{""clf__alpha"": 1e-06}",0.839718878561831,,0.7492004527830902,0.1817853089853108,0.1447430571838943,,
bracket,pooled,Combined,mlp,138371,22591,"{""clf__hidden_layer_sizes"": [64], ""clf__alpha"": 0.00046415888336127773}",0.8620169596583883,,0.4312280347591403,0.14168636517146857,0.004784933073266752,,
bracket,pooled,Combined,xgboost,138371,22591,{},0.8616130501426316,,0.4318764465283329,0.14186765727939546,0.006330507084093051,,
bracket,pooled,Combined,probit_proxy,138371,22591,{},0.8611676636621775,,0.4331811409576977,0.14204052134794087,0.00849355247560292,,
bracket,pooled,Combined,autoencoder_proxy_mlp,138371,22591,{},0.8614597756742368,,0.431723247711341,0.14192138231011775,0.0063679863518306306,,
bracket,separate,MBB,logreg_l2,80796,11581,"{""clf__C"": 0.01}",0.8404346673376063,,0.4519656481894368,0.14915000660717623,0.007582380597514117,,
bracket,separate,MBB,logreg_l1,80796,11581,"{""clf__C"": 0.01}",0.840280566847916,,0.4523701363337927,0.14920517866651362,0.008446939001242802,,
bracket,separate,MBB,logreg_elastic,80796,11581,"{""clf__l1_ratio"": 0.1, ""clf__C"": 0.01}",0.84044594629761,,0.4519543995428641,0.1491374091971756,0.007241394134499642,,
bracket,separate,MBB,linear_svm,80796,11581,"{""clf__C"": 0.01}",0.8402068459346381,,0.5273926334566247,0.17297054849349078,0.14022611658822118,,
bracket,separate,MBB,rbf_svm,12000,11581,{},0.8049942725305209,,0.49136758984979106,0.1585006144994007,0.05553024907612236,,
bracket,separate,MBB,poly_svm,12000,11581,{},0.8180862574093765,,0.49414932392525235,0.1589298811058543,0.0634844110593489,,
bracket,separate,MBB,decision_tree,80796,11581,"{""clf__min_samples_leaf"": 10, ""clf__max_depth"": 5}",0.8357199771240948,,0.4569872454280916,0.15050187377887153,0.011730529121554046,,
bracket,separate,MBB,random_forest,80796,11581,"{""clf__n_estimators"": 200, ""clf__min_samples_leaf"": 1, ""clf__max_depth"": 8}",0.8396276271738412,,0.45397505432249935,0.1496650296752693,0.012754861393237948,,
bracket,separate,MBB,extra_trees,80796,11581,"{""clf__n_estimators"": 500, ""clf__min_samples_leaf"": 5, ""clf__max_depth"": null}",0.838533890794799,,0.4685476691669954,0.15328491934916813,0.048957447287068176,,
