task,league,real_auc,null_mean_auc,null_std_auc,null_max_auc
selection,MBB,1.0,0.4837637088733798,0.10493536649538422,0.6720712861415753
selection,WBB,0.9999498092752459,0.5079931238707087,0.12297345277952128,0.7615564143746235
selection,Combined,0.9999312224889956,0.49728084983993603,0.10835172169317943,0.6825386404561825
bracket,MBB,0.8403566658551704,0.503888984729851,0.12845044146531695,0.7781747061983797
bracket,WBB,0.8801112441075474,0.5209990699850668,0.16421283839426318,0.8566217180107321
bracket,Combined,0.8611671446594908,0.5020177559815103,0.14439359059409068,0.7990394177177379
