task,league,scheme,split_id,train_seasons,val_seasons,n_train,n_val
selection,Combined,sliding,8,"2016,2017,2018,2019,2020,2021,2022,2023","2024,2025",5637,1448
bracket,MBB,expanding,0,"2008,2009,2010,2011,2012,2013","2014,2015",29511,10077
bracket,MBB,expanding,1,"2008,2009,2010,2011,2012,2013,2014","2015,2016",34568,10019
bracket,MBB,expanding,2,"2008,2009,2010,2011,2012,2013,2014,2015","2016,2017",39588,10121
bracket,MBB,expanding,3,"2008,2009,2010,2011,2012,2013,2014,2015,2016","2017,2018",44587,9994
bracket,MBB,expanding,4,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017","2018,2019",49709,10366
bracket,MBB,expanding,5,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018","2019,2020",54581,10931
bracket,MBB,expanding,6,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019","2020,2021",60075,9395
bracket,MBB,expanding,7,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020","2021,2022",65512,9503
bracket,MBB,expanding,8,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021","2022,2023",69470,11326
bracket,MBB,expanding,9,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022","2023,2024",75015,11564
bracket,MBB,expanding,10,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2024,2025",80796,11581
bracket,MBB,sliding,0,"2008,2009,2010,2011,2012,2013,2014,2015","2016,2017",39588,10121
bracket,MBB,sliding,1,"2009,2010,2011,2012,2013,2014,2015,2016","2017,2018",39865,9994
bracket,MBB,sliding,2,"2010,2011,2012,2013,2014,2015,2016,2017","2018,2019",40173,10366
bracket,MBB,sliding,3,"2011,2012,2013,2014,2015,2016,2017,2018","2019,2020",40053,10931
bracket,MBB,sliding,4,"2012,2013,2014,2015,2016,2017,2018,2019","2020,2021",40505,9395
bracket,MBB,sliding,5,"2013,2014,2015,2016,2017,2018,2019,2020","2021,2022",40956,9503
bracket,MBB,sliding,6,"2014,2015,2016,2017,2018,2019,2020,2021","2022,2023",39959,11326
bracket,MBB,sliding,7,"2015,2016,2017,2018,2019,2020,2021,2022","2023,2024",40447,11564
bracket,MBB,sliding,8,"2016,2017,2018,2019,2020,2021,2022,2023","2024,2025",41208,11581
bracket,WBB,expanding,0,"2012,2013,2014,2015,2016,2017","2018,2019",28131,10170
bracket,WBB,expanding,1,"2012,2013,2014,2015,2016,2017,2018","2019,2020",33124,10321
bracket,WBB,expanding,2,"2012,2013,2014,2015,2016,2017,2018,2019","2020,2021",38301,8704
bracket,WBB,expanding,3,"2012,2013,2014,2015,2016,2017,2018,2019,2020","2021,2022",43445,8736
bracket,WBB,expanding,4,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021","2022,2023",47005,10570
bracket,WBB,expanding,5,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022","2023,2024",52181,10854
