round,seed_a,team_a,seed_b,team_b,p_team_a_win,winner,winner_seed
Round of 64,30,Virginia Tech Hokies,35,Washington Huskies,0.560131090836943,Virginia Tech Hokies,30
Round of 64,31,Illinois Fighting Illini,34,Richmond Spiders,0.3985726731890995,Richmond Spiders,34
Round of 64,32,Iowa State Cyclones,33,South Dakota State Jackrabbits,0.4962251973470461,South Dakota State Jackrabbits,33
Round of 32,1,Connecticut Huskies,58,Fairfield Stags,0.8971965034317568,Connecticut Huskies,1
Round of 32,2,South Carolina Gamecocks,52,Murray State Racers,0.8339579831652225,South Carolina Gamecocks,2
Round of 32,3,UCLA Bruins,40,Oregon Ducks,0.9321907039671404,UCLA Bruins,3
Round of 32,4,Texas Longhorns,38,Texas Tech Lady Raiders,0.8527340123537019,Texas Longhorns,4
Round of 32,5,LSU Tigers,34,Richmond Spiders,0.7377470479339655,LSU Tigers,5
Round of 32,6,Iowa Hawkeyes,33,South Dakota State Jackrabbits,0.6141586452039892,Iowa Hawkeyes,6
Round of 32,8,Louisville Cardinals,30,Virginia Tech Hokies,0.7893160963332542,Louisville Cardinals,8
Round of 32,9,TCU Lady Frogs,29,Oklahoma State Cowboys,0.6383667634545462,TCU Lady Frogs,9
Round of 32,10,Michigan Wolverines,28,Princeton Tigers,0.5256091623836251,Michigan Wolverines,10
Round of 32,11,Ohio State Buckeyes,26,Villanova Wildcats,0.5950998602802017,Ohio State Buckeyes,11
Round of 32,12,Oklahoma Sooners,24,Kentucky Wildcats,0.6205558268879158,Oklahoma Sooners,12
Round of 32,14,Vanderbilt Commodores,23,Minnesota Golden Gophers,0.7553879384953918,Vanderbilt Commodores,14
Round of 32,15,Southern California Trojans,22,Michigan State Spartans,0.1735176624931534,Michigan State Spartans,22
Round of 32,16,North Carolina State Wolfpack,21,Mississippi Rebels,0.5585704936530408,North Carolina State Wolfpack,16
Round of 32,17,Maryland Terrapins,20,Baylor Lady Bears,0.5621787355790143,Maryland Terrapins,17
Round of 32,18,Notre Dame Fightin` Irish,19,West Virginia Mountaineers,0.35867747567574854,West Virginia Mountaineers,19
Sweet 16,1,Connecticut Huskies,22,Michigan State Spartans,0.8688993136035131,Connecticut Huskies,1
Sweet 16,2,South Carolina Gamecocks,19,West Virginia Mountaineers,0.8625494860613449,South Carolina Gamecocks,2
Sweet 16,3,UCLA Bruins,17,Maryland Terrapins,0.8749130655028533,UCLA Bruins,3
Sweet 16,4,Texas Longhorns,16,North Carolina State Wolfpack,0.8750061593793297,Texas Longhorns,4
