team_code,final_four_prob,entropy,league
None,0.761,1.441751588086559,WBB
SC,0.5723333333333334,1.441751588086559,WBB
ARMY,0.04466666666666667,1.441751588086559,WBB
CONN,0.5156666666666667,1.441751588086559,WBB
ID,0.317,1.441751588086559,WBB
FDU,0.16433333333333333,1.441751588086559,WBB
MURR,0.14166666666666666,1.441751588086559,WBB
VAND,0.17266666666666666,1.441751588086559,WBB
TEX,0.15033333333333335,1.441751588086559,WBB
TROY,0.058666666666666666,1.441751588086559,WBB
EKU,0.149,1.441751588086559,WBB
BOIS,0.15433333333333332,1.441751588086559,WBB
RICH,0.04,1.441751588086559,WBB
BSU,0.161,1.441751588086559,WBB
URI,0.14533333333333334,1.441751588086559,WBB
TXT,0.049,1.441751588086559,WBB
WV,0.035333333333333335,1.441751588086559,WBB
RICE,0.008333333333333333,1.441751588086559,WBB
UNC,0.04533333333333334,1.441751588086559,WBB
MRSH,0.006333333333333333,1.441751588086559,WBB
UK,0.0003333333333333333,1.441751588086559,WBB
IOWA,0.01,1.441751588086559,WBB
COST,0.027,1.441751588086559,WBB
ECU,0.019666666666666666,1.441751588086559,WBB
OKSU,0.03866666666666667,1.441751588086559,WBB
ISU,0.073,1.441751588086559,WBB
ARST,0.020666666666666667,1.441751588086559,WBB
JMU,0.004333333333333333,1.441751588086559,WBB
OSU,0.0013333333333333333,1.441751588086559,WBB
MSU,0.005333333333333333,1.441751588086559,WBB
LSU,0.004666666666666667,1.441751588086559,WBB
SCL,0.0013333333333333333,1.441751588086559,WBB
HPU,0.033666666666666664,1.441751588086559,WBB
ORST,0.0023333333333333335,1.441751588086559,WBB
GONZ,0.009333333333333334,1.441751588086559,WBB
TCU,0.019666666666666666,1.441751588086559,WBB
MON,0.001,1.441751588086559,WBB
COFC,0.005,1.441751588086559,WBB
BRY,0.004666666666666667,1.441751588086559,WBB
BAY,0.0026666666666666666,1.441751588086559,WBB
UL,0.004666666666666667,1.441751588086559,WBB
VT,0.003,1.441751588086559,WBB
UMD,0.0006666666666666666,1.441751588086559,WBB
GASO,0.0003333333333333333,1.441751588086559,WBB
MIO,0.0016666666666666668,1.441751588086559,WBB
SDST,0.0026666666666666666,1.441751588086559,WBB
GMU,0.0003333333333333333,1.441751588086559,WBB
PEPP,0.0006666666666666666,1.441751588086559,WBB
NOVA,0.001,1.441751588086559,WBB
WIU,0.0006666666666666666,1.441751588086559,WBB
SYR,0.0006666666666666666,1.441751588086559,WBB
MCN,0.0026666666666666666,1.441751588086559,WBB
MINN,0.002,1.441751588086559,WBB
LAM,0.0003333333333333333,1.441751588086559,WBB
FAIR,0.0003333333333333333,1.441751588086559,WBB
UCLA,0.0003333333333333333,1.441751588086559,WBB
ASU,0.0003333333333333333,1.441751588086559,WBB
YSU,0.0003333333333333333,1.441751588086559,WBB
ALA,0.0003333333333333333,1.441751588086559,WBB
