elo_bin,n,missed_upset_rate,league
0-25,325,0.2276923076923077,MBB
25-50,326,0.24539877300613497,MBB
50-75,328,0.2652439024390244,MBB
75-100,316,0.2088607594936709,MBB
100+,3442,0.1400348634514817,MBB
0-25,231,0.21645021645021645,WBB
25-50,254,0.23228346456692914,WBB
50-75,218,0.22477064220183487,WBB
75-100,243,0.2551440329218107,WBB
100+,3743,0.10873630777451242,WBB
